Name,for,deadline,link
Global Student Contest Scholarships,"Master, Bachelor, Course",1 December 2021,https://kidatschool.com/global-student-contest-scholarships
CouponsXDeals Scholarship,Bachelor,31 December 2020,https://couponsxdeals.com/scholarship
Women In Tech '21 Scholarship Program | GreyCampus,Course,15 March 2021,https://www.greycampus.com/scholarships/women-in-tech
Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Bachelor,,https://admissions.arizona.edu/cost-aid/international/scholarships-loans
Undergraduate KDS Scholarship Contest,"Master, Bachelor",1 October 2021,https://kidatschool.com/contest-program-scholarships/
Sustainability funding for International Students,Master,12 April 2021,https://www.finduddannelse.dk/scholarship/finduddannelsedk-sustainability-scholarship-17947#eli
special programmes at Northcap University,Bachelor,,
InvestoRunner Scholarship,Master,31 October 2020,https://investorunner.com/scholarship/
International KSS Contest Scholarship for College Students,"Bachelor, Course, Master",31 October 2021,https://kidatschool.com/international-kss-contest-scholarship-2021
Creative Writing International Competition,"Course, Bachelor, Master, Phd",30 April 2021,https://competition.kanac.org/
2021 Contest Scholarships for International Students,"Master, Bachelor, Course",1 June 2022,https://kidatschool.com/2021-contest-scholarships
International KAS Contest Scholarship 2021,"Master, Course, Bachelor",1 December 2021,https://kidatschool.com/international-kas-contest-scholarship-2021
Athena Study in India Scholarship,Bachelor,28 March 2021,https://athenaeducation.net
Latin America & Brazil Scholarships at Niagara College,Bachelor,1 February 2021,https://international.niagaracollege.ca/scholarships/#entrance-scholarships
BEROWS INTERNATIONAL SCHOLARSHIP PROGRAM TEST (BISPT),"Master, Bachelor, Phd",31 March 2021,https://bispt.com/
IUBH University of Applied Sciences Online Scholarships for International Students in Germany,"Master, Bachelor",,https://www.iubh-online.org/master-degree-programmes/scholarships/
Dermadry Scholarship 2020,"Master, Bachelor, Phd, Course",19 August 2020,https://dermadry.com/pages/scholarship-2020
Dermadry Hyperhidrosis Scholarship 2020,"Master, Bachelor, Phd, Course",19 August 2020,https://dermadry.com/pages/scholarship-2020
Trity Online Scholarship Test for Undergraduate students,Bachelor,20 August 2020,
LWF international awards in Theology,"Course, Bachelor, Master",1 October 2020,https://www.lutheranworld.org/news/applications-open-scholarships-theology-diakonia-and-development
IAEA Marie Sklodowska-Curie International Fellowship Programme in Austria,Master,11 October 2020,https://www.iaea.org/newscenter/news/marie-sklodowska-curie-fellowship-programme-applications-now-open
IELTS Course Scholarship,"Course, Bachelor, Master, Phd",31 December 2020,https://www.ieltspodcast.com/ielts-scholarships/
international scholarship for Girls,"Master, Bachelor, Phd, Course",28 December 2020,https://shebegan.com/application-submission/
Essay Writing Scholarship for Student,"Master, Bachelor, Phd",15 October 2020,https://shebegan.com/essay-writing-scholarship-deadline-for-submission-october-15-2020/
The #YouAreWelcomeHere Scholarship at National Louis University,Bachelor,1 July 2020,
